L,a,b,L,c,h,X,Y,Z,sRGB R,sRGB G,sRGB B,HEX,spot con
38.7165605,5.05115168,0.891376484,38.7165605,5.12919929,10.0079443,0.106035291,0.10494999,0.109453405,100,88,90,#64585a,954.3975
38.6841729,5.04120394,0.908564859,38.6841729,5.12242396,10.216613,0.105837935,0.104763736,0.109196993,100,88,90,#64585a,961.33
38.6230767,5.03213113,0.919550068,38.6230767,5.11545854,10.3557266,0.105479059,0.104412984,0.108789397,100,88,90,#64585a,969.1675
38.5905781,5.02213628,0.936844183,38.5905781,5.10876989,10.5666742,0.105281702,0.10422673,0.108532985,100,88,89,#645859,977.9675
38.5498413,5.02726291,0.939079208,38.5498413,5.1142196,10.5807567,0.105057833,0.103993575,0.10827996,100,88,89,#645859,985.2025
38.5118087,5.02340284,0.946543527,38.5118087,5.1118021,10.6709428,0.104837779,0.10377621,0.108025353,100,88,89,#645859,991.0075
38.4846303,5.0072033,0.973875479,38.4846303,5.10103111,11.0063261,0.104663119,0.103621066,0.107767136,100,88,89,#645859,996.1675
38.4552604,4.99810677,0.982104389,38.4552604,5.09368239,11.1167206,0.104485589,0.103453586,0.107562547,99,88,89,#635859,1002.755
38.3967836,5.01368123,0.983044673,38.3967836,5.10914633,11.093392,0.104176671,0.103120663,0.107209486,99,88,89,#635859,1009.27
38.3754901,5.00124228,1.00598923,38.3754901,5.10141536,11.373157,0.10404072,0.102999611,0.107002867,99,88,89,#635859,1014.805
38.32903,5.00067744,0.998916491,38.32903,5.09947145,11.2965022,0.103779088,0.102735819,0.106750292,99,87,89,#635759,1019.9425
38.2544709,4.98568247,1.03352434,38.2544709,5.09167971,11.7114502,0.10334185,0.102313426,0.10618745,99,87,89,#635759,1035.6975
38.2303555,4.97028639,1.05192076,38.2303555,5.08038228,11.9498488,0.103187017,0.102177056,0.105981056,99,87,88,#635758,1039.965
38.1917892,4.9783364,1.05912361,38.1917892,5.08975207,12.0104114,0.102982028,0.101959219,0.105727805,99,87,88,#635758,1044.68
38.1512309,4.95759162,1.04855513,38.1512309,5.06726578,11.9423389,0.102728975,0.101730466,0.105524117,99,87,88,#635758,1051.3625
38.1152734,4.96854842,1.06053453,38.1152734,5.0804731,12.0489451,0.102542867,0.101527947,0.105270641,99,87,88,#635758,1057.9675
38.0827762,4.95642724,1.06423358,38.0827762,5.06939485,12.1184295,0.102346456,0.101345148,0.105066278,99,87,88,#635758,1064.0025
38.0522683,4.96115424,1.08635282,38.0522683,5.07870199,12.3512139,0.102183046,0.10117374,0.104810997,98,87,88,#625758,1071.1725
38.0162632,4.96009454,1.09898367,38.0162632,5.08038414,12.4929222,0.101981873,0.100971694,0.104556166,98,87,88,#625758,1076.5025
37.9625587,4.9454485,1.11142551,37.9625587,5.06879941,12.6660427,0.101665522,0.100670826,0.104198587,98,87,88,#625758,1080.8125
37.9298771,4.93324679,1.11521607,37.9298771,5.0577298,12.738247,0.101469111,0.100488028,0.103994224,98,87,88,#625758,1087.235
37.9048516,4.91957001,1.14823367,37.9048516,5.05179272,13.1377114,0.101313332,0.100348202,0.103735781,98,87,88,#625758,1094.37
37.8603232,4.92184991,1.14608518,37.8603232,5.05352528,13.1081146,0.101070581,0.100099728,0.10348298,98,86,87,#625657,1102.895
37.8441869,4.90281716,1.17988073,37.8441869,5.04279036,13.5311384,0.100957326,0.100009787,0.103274555,98,86,87,#625657,1110.395
37.7968042,4.90215542,1.17296664,37.7968042,5.04053355,13.4564874,0.100695695,0.099745994,0.10302198,98,86,87,#625657,1115.905
37.7605412,4.88884624,1.18641871,37.7605412,5.03074616,13.6407626,0.100479457,0.099544422,0.102765793,98,86,87,#625657,1122.8475
37.7179122,4.89599007,1.20355754,37.7179122,5.04175262,13.8108932,0.100254641,0.099307811,0.102460719,98,86,87,#625657,1130.6975
37.6731584,4.88604419,1.20204296,37.6731584,5.03173282,13.8211808,0.099996825,0.09905981,0.102206563,97,86,87,#615657,1135.435
37.6394127,4.88786197,1.2199017,37.6394127,5.03779265,14.0134724,0.099814533,0.098873082,0.101951507,97,86,87,#615657,1140.955
37.6119679,4.8691165,1.23414216,37.6119679,5.02308694,14.2228488,0.099640819,0.098721394,0.101745337,97,86,87,#615657,1148.8475
37.5697286,4.8743381,1.23697888,37.5697286,5.02884566,14.2395613,0.09941695,0.098488238,0.101492312,97,86,87,#615657,1154.375
37.5353108,4.86582022,1.27004846,37.5353108,5.02883978,14.6286359,0.099218647,0.098298529,0.101183851,97,86,86,#615656,1161.1075
37.484593,4.8621707,1.25834449,37.484593,5.02236346,14.5099585,0.098938134,0.098019418,0.100931501,97,86,86,#615656,1169.87
37.41333,4.84011221,1.30540906,37.41333,5.01306084,15.093893,0.098523593,0.097628136,0.100366853,97,85,86,#615556,1184.31
37.3560634,4.84480376,1.29800201,37.3560634,5.01566871,14.9982428,0.098219437,0.097314459,0.10006426,97,85,86,#615556,1190.7725
37.3186524,4.82082125,1.32713164,37.3186524,5.00015959,15.3917834,0.097987188,0.097109904,0.099754669,97,85,86,#615556,1197.205
37.2871763,4.83802361,1.34980311,37.2871763,5.02279214,15.5890422,0.097838842,0.096938022,0.099500744,97,85,86,#615556,1204.66
37.2244722,4.85966919,1.31677695,37.2244722,5.03490677,15.1608401,0.097528001,0.096596218,0.099253361,96,85,86,#605556,1212.7375
37.1964236,4.86554307,1.33026304,37.1964236,5.04411629,15.2912467,0.097384417,0.096443583,0.099049903,96,85,86,#605556,1219.995
37.1352287,4.86935338,1.33269086,37.1352287,5.04843216,15.3064206,0.097060434,0.096111133,0.098695487,96,85,85,#605555,1229.2275
37.0866588,4.8562295,1.32644238,37.0866588,5.03412498,15.277257,0.096783737,0.095847813,0.098441555,96,85,85,#605555,1236.945
37.057913,4.85161946,1.3554034,37.057913,5.03739315,15.6088397,0.096624143,0.095692196,0.098184693,96,85,85,#605555,1242.9325
37.0234669,4.8409757,1.37453552,37.0234669,5.03233481,15.8512434,0.096426786,0.095505942,0.097928281,96,84,85,#605455,1251.2825
36.9681946,4.84883206,1.37214828,36.9681946,5.03924233,15.8007343,0.096141511,0.095207584,0.097625463,96,84,85,#605455,1260.35
36.9244549,4.83108661,1.39136596,36.9244549,5.02745433,16.0665431,0.095886565,0.094971919,0.097317677,96,84,85,#605455,1267.955
36.8746776,4.84502943,1.39898036,36.8746776,5.04296106,16.1058342,0.095639052,0.094704198,0.09701441,96,84,85,#605455,1275.5875
36.8278389,4.83681777,1.41276391,36.8278389,5.03891933,16.2823135,0.09538029,0.094452741,0.096708205,95,84,85,#5f5455,1284.3375
36.790232,4.82304971,1.427175,36.790232,5.02977504,16.4838634,0.095164052,0.094251169,0.096452018,95,84,84,#5f5454,1293.1225
36.7461965,4.80516715,1.44664993,36.7461965,5.01820958,16.7550158,0.094909106,0.094015504,0.096144232,95,84,84,#5f5454,1299.315
36.6990404,4.80955172,1.46003509,36.6990404,5.02627996,16.8867104,0.094665409,0.093763574,0.095839383,95,84,84,#5f5454,1301.2925
36.6647713,4.79672903,1.46454017,36.6647713,5.01532524,16.9785099,0.094468998,0.093580776,0.09563502,95,84,84,#5f5454,1305.1775
36.6210859,4.78943713,1.46850035,36.6210859,5.00951108,17.0461839,0.094230064,0.093348093,0.095380638,95,84,84,#5f5454,1312.9625
36.585976,4.7913275,1.48759771,36.585976,5.01694789,17.2483746,0.094047772,0.093161366,0.095125582,95,83,84,#5f5354,1320.6825
36.5420702,4.79678,1.49103666,36.5420702,5.02317516,17.2673952,0.093823902,0.09292821,0.094872557,95,83,84,#5f5354,1324.7825
36.5134662,4.7772531,1.50630692,36.5134662,5.00910249,17.5004888,0.093650188,0.092776522,0.094666388,95,83,84,#5f5354,1328.9275
36.4811953,4.7694324,1.53119635,36.4811953,5.00919631,17.7989015,0.093471713,0.092605586,0.094409751,95,83,84,#5f5354,1336.7775
36.4401018,4.76515602,1.54038149,36.4401018,5.0079424,17.9139141,0.093251659,0.092388222,0.094155144,95,83,83,#5f5353,1344.32
36.417843,4.74966474,1.55066427,36.417843,4.99638618,18.0807565,0.093116653,0.092270626,0.094000573,94,83,83,#5e5353,1350.16
36.3795551,4.74844934,1.56499009,36.3795551,4.9996965,18.2411444,0.09291548,0.092068581,0.093745742,94,83,83,#5e5353,1354.4075
36.3513394,4.73957554,1.56457358,36.3513394,4.99113882,18.2684894,0.092757778,0.091919875,0.093592977,94,83,83,#5e5353,1358.2575
36.319435,4.74250577,1.57381253,36.319435,4.99682367,18.3585554,0.092595313,0.091751922,0.093389745,94,83,83,#5e5353,1363.61
36.2773388,4.75312867,1.59792008,36.2773388,5.01453694,18.5817589,0.092389378,0.091530629,0.093084446,94,83,83,#5e5353,1369.905
36.2644445,4.73190991,1.60884884,36.2644445,4.99793617,18.7780275,0.092296897,0.091462917,0.092979893,94,83,83,#5e5353,1376.885
36.223009,4.72756956,1.61826396,36.223009,4.99686824,18.8962587,0.092076843,0.091245553,0.092725287,94,83,83,#5e5353,1383.2775
36.1910379,4.71757444,1.62822006,36.1910379,4.99065217,19.0415634,0.091899313,0.091078073,0.092520698,94,83,83,#5e5353,1390.02
36.1590276,4.70755789,1.63820455,36.1590276,4.98445738,19.1876187,0.091721784,0.090910593,0.09231611,94,82,83,#5e5253,1396.955
36.1179956,4.71409027,1.63164949,36.1179956,4.98847944,19.0918533,0.091517741,0.090696211,0.092114908,94,82,82,#5e5252,1401.8
36.0881703,4.70924476,1.66230987,36.0881703,4.99402246,19.4424526,0.091358146,0.090540594,0.091858046,94,82,82,#5e5252,1407.2225
36.0530011,4.70906405,1.66665498,36.0530011,4.9953001,19.4901388,0.091176801,0.090357323,0.091655038,94,82,82,#5e5252,1413.6025
36.0274655,4.69018219,1.67209767,36.0274655,4.97932923,19.6216682,0.091022914,0.090224408,0.091500693,93,82,82,#5d5252,1418.1925
35.9891744,4.69988141,1.67072177,35.9891744,4.98800527,19.5693684,0.090837753,0.090025345,0.091299266,93,82,82,#5d5252,1423.215
35.9651959,4.68824519,1.71253261,35.9651959,4.9912334,20.0663499,0.090700855,0.089900838,0.091040598,93,82,82,#5d5252,1429.925
35.9269042,4.68490045,1.71181045,35.9269042,4.98784395,20.0717405,0.090500628,0.089702248,0.090837815,93,82,82,#5d5252,1436.2825
35.8885559,4.68155094,1.71108802,35.8885559,4.98444996,20.0771546,0.090300401,0.089503658,0.090635033,93,82,82,#5d5252,1442.3825
35.8465172,4.67712082,1.72085365,35.8465172,4.98365292,20.2000891,0.090080348,0.089286294,0.090380426,93,82,82,#5d5252,1447.75
35.8261352,4.65336292,1.75308256,35.8261352,4.9726336,20.6431249,0.089948212,0.089181034,0.090172226,93,82,82,#5d5252,1452.68
35.7906091,4.65313707,1.75762064,35.7906091,4.97402402,20.69296,0.089766866,0.088997762,0.089969219,93,82,82,#5d5252,1458.8025
35.754271,4.66816769,1.77732632,35.754271,4.99506541,20.8434895,0.089599639,0.088810562,0.089715519,93,82,81,#5d5251,1464.1875
35.7157582,4.6516132,1.7773064,35.7157582,4.97959069,20.9110505,0.089384348,0.088612445,0.08951138,93,81,81,#5d5151,1469.33
35.6927789,4.64883034,1.78757545,35.6927789,4.98066758,21.0328274,0.089264407,0.088494376,0.089358165,93,81,81,#5d5151,1477.49
35.6383754,4.64481173,1.77606888,35.6383754,4.97279566,20.9257012,0.088983894,0.088215265,0.089105815,93,81,81,#5d5151,1486.18
35.6207274,4.63727272,1.8132836,35.6207274,4.97918625,21.3566769,0.088885705,0.088124851,0.088898745,92,81,81,#5c5151,1495.005
35.5850102,4.62379874,1.81856375,35.5850102,4.96857011,21.4699687,0.088689294,0.087942052,0.088694382,92,81,81,#5c5151,1503.3325
35.529609,4.6351183,1.8223801,35.529609,4.98050107,21.4631631,0.0884229,0.087659012,0.088391339,92,81,81,#5c5151,1510.475
35.5162449,4.62652923,1.83321776,35.5162449,4.97649074,21.6154712,0.088345484,0.087590827,0.088288142,92,81,81,#5c5151,1517.7
35.4699086,4.62090415,1.85408324,35.4699086,4.97899386,21.8625414,0.088105603,0.087354689,0.087981712,92,81,81,#5c5151,1523.05
35.4248485,4.61102932,1.84304982,35.4248485,4.96572493,21.7868194,0.087867614,0.087125462,0.087779379,92,81,81,#5c5151,1529.065
35.3948007,4.61723042,1.85837334,35.3948007,4.97718477,21.9241242,0.087724031,0.086972828,0.087575922,92,81,80,#5c5150,1536.0825
35.3642227,4.59884493,1.89100092,35.3642227,4.97245002,22.3519947,0.087549371,0.086817684,0.087317704,92,81,80,#5c5150,1544.2425
35.3152676,4.58780205,1.89076559,35.3152676,4.96214894,22.3979721,0.087291555,0.086569683,0.087063547,92,81,80,#5c5150,1552.7725
35.2821543,4.57737139,1.90154727,35.2821543,4.95663302,22.5591427,0.087114025,0.086402203,0.086858959,92,80,80,#5c5050,1560.44
35.2450912,4.59266366,1.92196042,35.2450912,4.97860335,22.7085742,0.086946798,0.086215002,0.086605259,92,80,80,#5c5050,1569.035
35.1626398,4.57110478,1.93268144,35.1626398,4.96288792,22.9188364,0.086511453,0.085799522,0.086146514,91,80,80,#5b5050,1585.7675
35.1386614,4.54340342,1.96082686,35.1386614,4.94847013,23.3439004,0.086360436,0.085678943,0.085938539,91,80,80,#5b5050,1593.5825
35.0822873,4.55483896,1.96508191,35.0822873,4.96065569,23.3366865,0.086094042,0.085395903,0.085635496,91,80,80,#5b5050,1601.23
35.0457178,4.55456194,1.97012747,35.0457178,4.96240231,23.3914436,0.085912697,0.085212632,0.085432488,91,80,79,#5b504f,1608.265
35.0029689,4.54774352,1.96447531,35.0029689,4.95390092,23.3627531,0.085693589,0.084998723,0.08522993,91,80,79,#5b504f,1614.325
34.955694,4.54194331,1.9861228,34.955694,4.95721019,23.619028,0.085453708,0.084762585,0.084923501,91,80,79,#5b504f,1620.625
34.9091199,4.52035928,1.99210374,34.9091199,4.93985074,23.7828902,0.085199708,0.084530376,0.084667763,91,80,79,#5b504f,1629.1975
34.8754756,4.50971793,2.00324589,34.8754756,4.93462763,23.9511022,0.085022178,0.084362896,0.084463175,91,80,79,#5b504f,1639.43
34.8541172,4.5122423,2.03598726,34.8541172,4.95031057,24.2855666,0.084920173,0.08425669,0.084257687,91,79,79,#5b4f4f,1646.9675
34.8103487,4.50749838,2.04687592,34.8103487,4.95047903,24.4230193,0.084700119,0.084039326,0.08400308,90,79,79,#5a4f4f,1652.0425
34.7672978,4.48688414,2.041935,34.7672978,4.92966813,24.4697955,0.084465946,0.08382589,0.083799167,90,79,79,#5a4f4f,1657.8425
34.7372599,4.47729313,2.04212492,34.7372599,4.921019,24.5180629,0.084308244,0.083677184,0.083646402,90,79,79,#5a4f4f,1664.4175
34.7032913,4.48026396,2.05280798,34.7032913,4.92816252,24.6167336,0.084145779,0.083509231,0.083443169,90,79,78,#5a4f4e,1671.6275
34.6724772,4.47282868,2.06958237,34.6724772,4.92842445,24.8300284,0.08398713,0.08335707,0.083238356,90,79,78,#5a4f4e,1679.5475
34.6257937,4.49002412,2.05733395,34.6257937,4.93892089,24.6173029,0.083779272,0.083126897,0.083038735,90,79,78,#5a4f4e,1687.71
34.5949813,4.46880595,2.07480296,34.5949813,4.92697006,24.9047709,0.083605558,0.082975208,0.082832565,90,79,78,#5a4f4e,1695.5325
34.5507627,4.46397729,2.08590476,34.5507627,4.92728038,25.0455062,0.083385504,0.082757844,0.082577959,90,79,78,#5a4f4e,1703.79
